state,date,cumulative fatalities ,deaths,fips,cases
Michigan,10/10/2020,7221,19,26,149406
Michigan,10/11/2020,7221,0,26,149448
Michigan,10/12/2020,7227,6,26,151284
Michigan,10/13/2020,7257,30,26,152842
Michigan,10/14/2020,7270,13,26,154409
Michigan,10/15/2020,7304,34,26,156926
Michigan,10/16/2020,7320,16,26,159144
Michigan,10/17/2020,7323,3,26,159259
Michigan,10/18/2020,7323,0,26,159337
Michigan,10/19/2020,7364,41,26,164055
Michigan,10/20/2020,7386,22,26,165949
Michigan,10/21/2020,7420,34,26,167857
Michigan,10/22/2020,7465,45,26,170102
Michigan,10/23/2020,7485,20,26,172128
Michigan,10/24/2020,7522,37,26,175385
Michigan,10/25/2020,7522,0,26,175515
Michigan,10/26/2020,7551,29,26,179624
Michigan,10/27/2020,7585,34,26,182284
Michigan,10/28/2020,7606,21,26,185818
Michigan,10/29/2020,7651,45,26,189926
Michigan,10/30/2020,7664,13,26,193360
Michigan,10/31/2020,7699,35,26,197164
Michigan,11/1/2020,7700,1,26,197501
Michigan,11/2/2020,7716,16,26,204135
Michigan,11/3/2020,7758,42,26,207799
Michigan,11/4/2020,7783,25,26,212126
Michigan,11/5/2020,7833,50,26,218136
Michigan,11/6/2020,7883,50,26,222423
Michigan,11/7/2020,7943,60,26,228706
Michigan,11/8/2020,7944,1,26,229085
Michigan,11/9/2020,8008,64,26,238136
Michigan,11/10/2020,8095,87,26,245005
Michigan,11/11/2020,8137,42,26,251499
Michigan,11/12/2020,8187,50,26,258973
Michigan,11/13/2020,8312,125,26,268072
Michigan,11/14/2020,8375,63,26,275393
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
